,Loss,Epsilon,Reward
0,0.06123920530080795,0.9799,-0.8208955223880597
1,0.1326553076505661,0.9799,-0.8208955223880597
2,0.097511425614357,0.9799,-0.7941176470588235
3,0.12100838124752045,0.9796,-0.7971014492753623
4,0.11018966138362885,0.9793,-0.7971014492753623
5,0.1494140475988388,0.9793,-0.7971014492753623
6,0.08553849160671234,0.9793,-0.7971014492753623
7,0.12649749219417572,0.9793,-0.7971014492753623
8,0.04277103394269943,0.9793,-0.7971014492753623
9,0.0722787156701088,0.9793,-0.8
10,0.06858295202255249,0.979,-0.8
11,0.06350696086883545,0.979,-0.8
12,0.06972898542881012,0.979,-0.8
13,0.13424763083457947,0.979,-0.8
14,0.06450857222080231,0.979,-0.8
15,0.021286770701408386,0.979,-0.8028169014084507
16,0.10716597735881805,0.9787,-0.8028169014084507
17,0.04038701578974724,0.9787,-0.8028169014084507
18,0.06289456784725189,0.9787,-0.8028169014084507
19,0.09604665637016296,0.9787,-0.8028169014084507
20,0.0530305951833725,0.9787,-0.8028169014084507
21,0.05612855404615402,0.9787,-0.8055555555555556
22,0.14444294571876526,0.9784,-0.8055555555555556
23,0.05903170630335808,0.9784,-0.8055555555555556
24,0.07931215316057205,0.9784,-0.8055555555555556
25,0.05357375741004944,0.9784,-0.8055555555555556
26,0.09618482738733292,0.9784,-0.8055555555555556
27,0.06186047941446304,0.9784,-0.8082191780821918
28,0.10384628921747208,0.9781,-0.8082191780821918
29,0.04563707485795021,0.9781,-0.8082191780821918
30,0.07731292396783829,0.9781,-0.8082191780821918
31,0.06806129962205887,0.9781,-0.8082191780821918
32,0.041027821600437164,0.9781,-0.8082191780821918
33,0.04788275435566902,0.9781,-0.8082191780821918
34,0.051946550607681274,0.9781,-0.8082191780821918
35,0.05361417680978775,0.9781,-0.8082191780821918
36,0.10403478890657425,0.9781,-0.8108108108108109
37,0.04911605641245842,0.9778,-0.8108108108108109
38,0.06337618827819824,0.9778,-0.8108108108108109
39,0.03183538466691971,0.9778,-0.8108108108108109
40,0.0663720965385437,0.9778,-0.8108108108108109
41,0.042635299265384674,0.9778,-0.8108108108108109
42,0.04189379885792732,0.9778,-0.8133333333333334
43,0.02185993455350399,0.9775,-0.8133333333333334
44,0.039622653275728226,0.9775,-0.8133333333333334
45,0.030935047194361687,0.9775,-0.8133333333333334
46,0.14553940296173096,0.9775,-0.8133333333333334
47,0.0512164831161499,0.9775,-0.8133333333333334
48,0.0812014490365982,0.9775,-0.8157894736842105
49,0.018237510696053505,0.9772,-0.8157894736842105
